created_at,reviewer_name,review_text,rating_overall,like_count,restaurant_name,city,primary_cuisine,date,year_month,day_of_week,hour_of_day,restaurant_review_count,restaurant_overall_rating
2023-07-30 05:42:00,user_1644,Dessert was fresh and tasty. chicken biryani was perfectly cooked. food spilled during delivery.,3,137,Pizza Junction,Mumbai,biryani,2023-07-30,2023-07,6,5,6182,2.99
2023-05-13 21:32:00,user_1605,Fries were soggy. chicken biryani was perfectly cooked.,4,168,Spice Villa,Delhi,curry,2023-05-13,2023-05,5,21,6366,2.99
2023-08-05 15:53:00,user_1781,Food spilled during delivery.,1,459,Pizza Junction,Mumbai,chinese,2023-08-05,2023-08,5,15,6182,2.99
2023-10-05 07:23:00,user_347,Packaging was neat. delivery was late.,1,453,Urban Tadka,Bangalore,pizza,2023-10-05,2023-10,3,7,6131,2.98
2023-09-19 14:46:00,user_94,Dessert was fresh and tasty.,1,293,Urban Tadka,Pune,curry,2023-09-19,2023-09,1,14,6131,2.98
2023-03-30 13:10:00,user_1995,Spices were well balanced.,3,424,The Hungry Fork,Pune,chinese,2023-03-30,2023-03,3,13,6185,3.02
2023-07-22 08:53:00,user_763,Dessert was fresh and tasty. paneer curry was too salty.,1,373,Pizza Junction,Pune,biryani,2023-07-22,2023-07,5,8,6182,2.99
2023-12-01 12:14:00,user_1893,Rice was undercooked. oil was excessive. dessert was fresh and tasty.,3,347,Spice Villa,Pune,north indian,2023-12-01,2023-12,4,12,6366,2.99
2023-04-13 05:07:00,user_753,Naan was rubbery. spices were well balanced.,1,378,Wok & Roll,Pune,chinese,2023-04-13,2023-04,3,5,6201,3.01
2023-04-29 06:59:00,user_208,Gravy lacked flavor.,4,433,Wok & Roll,Chennai,south indian,2023-04-29,2023-04,5,6,6201,3.01
2023-10-08 05:15:00,user_546,Food arrived cold.,4,51,Urban Tadka,Kolkata,north indian,2023-10-08,2023-10,6,5,6131,2.98
2023-06-12 16:14:00,user_857,Delivery was late.,3,376,Biryani Blues,Chennai,curry,2023-06-12,2023-06,0,16,6349,3.0
2023-04-08 10:06:00,user_1891,Food arrived cold.,3,154,Biryani Blues,Pune,north indian,2023-04-08,2023-04,5,10,6349,3.0
2023-11-18 08:31:00,user_970,Fries were soggy. gravy lacked flavor.,1,130,Curry Nation,Bangalore,street food,2023-11-18,2023-11,5,8,6394,2.99
2023-09-23 15:19:00,user_1502,Packaging was neat. spices were well balanced.,5,283,Biryani Blues,Delhi,curry,2023-09-23,2023-09,5,15,6349,3.0
2023-06-30 22:42:00,user_1670,Portion size was generous. gravy lacked flavor. fries were soggy.,3,11,Biryani Blues,Chennai,north indian,2023-06-30,2023-06,4,22,6349,3.0
2023-02-09 13:04:00,user_1951,Naan was rubbery. spices were well balanced.,4,143,Urban Tadka,Kolkata,curry,2023-02-09,2023-02,3,13,6131,2.98
2023-07-01 09:39:00,user_512,Food spilled during delivery.,4,177,Biryani Blues,Delhi,street food,2023-07-01,2023-07,5,9,6349,3.0
2023-10-04 19:48:00,user_1727,Gravy lacked flavor.,4,31,Masala Magic,Kolkata,street food,2023-10-04,2023-10,2,19,6192,2.96
2023-01-11 08:59:00,user_361,Dessert was fresh and tasty.,5,187,Spice Villa,Delhi,pizza,2023-01-11,2023-01,2,8,6366,2.99
2023-09-27 05:31:00,user_739,Chicken biryani was perfectly cooked. rice was undercooked. naan was rubbery.,2,434,Urban Tadka,Bangalore,curry,2023-09-27,2023-09,2,5,6131,2.98
2023-08-12 13:18:00,user_190,Fries were soggy.,4,64,Wok & Roll,Chennai,chinese,2023-08-12,2023-08,5,13,6201,3.01
2023-09-22 13:49:00,user_329,Naan was rubbery.,5,464,Masala Magic,Pune,pizza,2023-09-22,2023-09,4,13,6192,2.96
2023-04-11 07:21:00,user_1646,Packaging was neat.,3,330,Biryani Blues,Kolkata,curry,2023-04-11,2023-04,1,7,6349,3.0
2023-11-14 13:53:00,user_1446,Dessert was fresh and tasty. delivery was late. spices were well balanced.,1,400,Curry Nation,Kolkata,street food,2023-11-14,2023-11,1,13,6394,2.99
2023-02-18 17:39:00,user_807,Naan was rubbery. delivery was late. oil was excessive.,4,43,Wok & Roll,Pune,north indian,2023-02-18,2023-02,5,17,6201,3.01
2023-06-27 04:20:00,user_1592,Chicken biryani was perfectly cooked.,5,470,The Hungry Fork,Hyderabad,biryani,2023-06-27,2023-06,1,4,6185,3.02
2023-05-08 16:36:00,user_273,Fries were soggy. oil was excessive.,1,105,Urban Tadka,Chennai,street food,2023-05-08,2023-05,0,16,6131,2.98
2023-11-06 13:33:00,user_1891,Gravy lacked flavor. oil was excessive. rice was undercooked.,4,472,Pizza Junction,Pune,south indian,2023-11-06,2023-11,0,13,6182,2.99
2023-07-22 00:59:00,user_207,Chicken biryani was perfectly cooked. dessert was fresh and tasty.,4,340,Pizza Junction,Bangalore,curry,2023-07-22,2023-07,5,0,6182,2.99
2023-02-27 23:14:00,user_987,Food spilled during delivery.,4,482,The Hungry Fork,Kolkata,north indian,2023-02-27,2023-02,0,23,6185,3.02
2023-07-30 14:49:00,user_1396,Rice was undercooked. taste was amazing.,1,465,Pizza Junction,Mumbai,north indian,2023-07-30,2023-07,6,14,6182,2.99
2023-11-30 04:48:00,user_845,Chicken biryani was perfectly cooked. food spilled during delivery.,4,119,Biryani Blues,Pune,north indian,2023-11-30,2023-11,3,4,6349,3.0
2023-07-12 10:19:00,user_959,Dessert was fresh and tasty. gravy lacked flavor.,2,483,Biryani Blues,Kolkata,chinese,2023-07-12,2023-07,2,10,6349,3.0
2023-05-01 02:50:00,user_238,Portion size was generous. spices were well balanced. paneer curry was too salty.,2,365,Curry Nation,Pune,chinese,2023-05-01,2023-05,0,2,6394,2.99
2023-08-03 12:57:00,user_793,Chicken biryani was perfectly cooked. spices were well balanced. packaging was neat.,1,6,Spice Villa,Pune,street food,2023-08-03,2023-08,3,12,6366,2.99
2023-11-05 15:00:00,user_762,Portion size was generous. chicken biryani was perfectly cooked.,4,33,Urban Tadka,Delhi,pizza,2023-11-05,2023-11,6,15,6131,2.98
2023-05-02 23:43:00,user_917,Delivery was late. food arrived cold. dessert was fresh and tasty.,3,87,Masala Magic,Pune,pizza,2023-05-02,2023-05,1,23,6192,2.96
2023-01-14 14:25:00,user_1114,Food arrived cold.,5,108,Pizza Junction,Pune,south indian,2023-01-14,2023-01,5,14,6182,2.99
2023-09-20 03:01:00,user_858,Portion size was generous.,4,146,Spice Villa,Bangalore,curry,2023-09-20,2023-09,2,3,6366,2.99
2023-02-22 21:24:00,user_1821,Taste was amazing.,1,277,Pizza Junction,Mumbai,north indian,2023-02-22,2023-02,2,21,6182,2.99
2023-09-25 11:21:00,user_299,Spices were well balanced.,1,443,Curry Nation,Kolkata,pizza,2023-09-25,2023-09,0,11,6394,2.99
2023-08-30 03:25:00,user_322,Portion size was generous.,1,359,Curry Nation,Pune,curry,2023-08-30,2023-08,2,3,6394,2.99
2023-05-09 19:22:00,user_1607,Delivery was late. rice was undercooked. fries were soggy.,1,165,Curry Nation,Kolkata,pizza,2023-05-09,2023-05,1,19,6394,2.99
2023-06-28 16:53:00,user_1651,Portion size was generous. fries were soggy.,2,71,The Hungry Fork,Delhi,curry,2023-06-28,2023-06,2,16,6185,3.02
2023-10-11 06:08:00,user_1132,Dessert was fresh and tasty.,3,345,Wok & Roll,Chennai,south indian,2023-10-11,2023-10,2,6,6201,3.01
2023-07-05 04:08:00,user_285,Food arrived cold. paneer curry was too salty. delivery was late.,5,60,Masala Magic,Kolkata,biryani,2023-07-05,2023-07,2,4,6192,2.96
2023-11-12 10:11:00,user_1005,Dessert was fresh and tasty. portion size was generous. chicken biryani was perfectly cooked.,3,347,The Hungry Fork,Pune,north indian,2023-11-12,2023-11,6,10,6185,3.02
2023-09-01 01:44:00,user_57,Food spilled during delivery. oil was excessive. dessert was fresh and tasty.,1,309,Urban Tadka,Bangalore,chinese,2023-09-01,2023-09,4,1,6131,2.98
2023-09-04 12:43:00,user_209,Taste was amazing. delivery was late.,5,426,Masala Magic,Delhi,pizza,2023-09-04,2023-09,0,12,6192,2.96
2023-04-11 13:55:00,user_408,Naan was rubbery.,4,311,Spice Villa,Chennai,pizza,2023-04-11,2023-04,1,13,6366,2.99
2023-08-31 00:01:00,user_1056,Spices were well balanced. rice was undercooked.,4,197,Spice Villa,Kolkata,south indian,2023-08-31,2023-08,3,0,6366,2.99
2023-05-25 11:26:00,user_1178,Paneer curry was too salty.,2,309,Biryani Blues,Chennai,north indian,2023-05-25,2023-05,3,11,6349,3.0
2023-04-29 07:33:00,user_733,Food spilled during delivery.,2,484,Masala Magic,Bangalore,chinese,2023-04-29,2023-04,5,7,6192,2.96
2023-10-09 05:01:00,user_367,Dessert was fresh and tasty.,5,286,Biryani Blues,Delhi,south indian,2023-10-09,2023-10,0,5,6349,3.0
2023-11-20 05:04:00,user_927,Packaging was neat. portion size was generous.,2,271,Masala Magic,Bangalore,biryani,2023-11-20,2023-11,0,5,6192,2.96
2023-01-26 13:07:00,user_898,Naan was rubbery.,5,456,Wok & Roll,Delhi,curry,2023-01-26,2023-01,3,13,6201,3.01
2023-04-10 15:54:00,user_806,Oil was excessive.,3,206,Urban Tadka,Chennai,biryani,2023-04-10,2023-04,0,15,6131,2.98
2023-03-22 15:59:00,user_1207,Dessert was fresh and tasty.,4,81,Biryani Blues,Delhi,curry,2023-03-22,2023-03,2,15,6349,3.0
2023-04-22 23:19:00,user_869,Fries were soggy. spices were well balanced. naan was rubbery.,4,201,Urban Tadka,Delhi,south indian,2023-04-22,2023-04,5,23,6131,2.98
2023-08-02 12:38:00,user_714,Rice was undercooked.,1,369,The Hungry Fork,Bangalore,pizza,2023-08-02,2023-08,2,12,6185,3.02
2023-07-16 01:21:00,user_1485,Rice was undercooked. food spilled during delivery.,3,214,Spice Villa,Delhi,biryani,2023-07-16,2023-07,6,1,6366,2.99
2023-03-06 10:19:00,user_353,Rice was undercooked.,5,91,Spice Villa,Pune,curry,2023-03-06,2023-03,0,10,6366,2.99
2023-06-21 12:27:00,user_109,Food spilled during delivery.,1,199,Curry Nation,Mumbai,pizza,2023-06-21,2023-06,2,12,6394,2.99
2023-09-08 03:07:00,user_795,Delivery was late. rice was undercooked. fries were soggy.,4,0,Wok & Roll,Hyderabad,north indian,2023-09-08,2023-09,4,3,6201,3.01
2023-05-17 13:39:00,user_495,Chicken biryani was perfectly cooked. delivery was late.,4,247,Curry Nation,Delhi,north indian,2023-05-17,2023-05,2,13,6394,2.99
2023-03-12 08:24:00,user_1184,Dessert was fresh and tasty.,4,23,The Hungry Fork,Hyderabad,curry,2023-03-12,2023-03,6,8,6185,3.02
2023-01-09 10:21:00,user_1075,Naan was rubbery. food arrived cold. portion size was generous.,3,57,Pizza Junction,Kolkata,north indian,2023-01-09,2023-01,0,10,6182,2.99
2023-01-17 02:09:00,user_1129,Naan was rubbery. dessert was fresh and tasty. chicken biryani was perfectly cooked.,2,498,Spice Villa,Hyderabad,chinese,2023-01-17,2023-01,1,2,6366,2.99
2023-03-29 05:59:00,user_307,Delivery was late. food arrived cold. paneer curry was too salty.,5,122,Urban Tadka,Mumbai,biryani,2023-03-29,2023-03,2,5,6131,2.98
2023-01-24 11:56:00,user_257,Chicken biryani was perfectly cooked. food spilled during delivery.,2,143,Biryani Blues,Kolkata,street food,2023-01-24,2023-01,1,11,6349,3.0
2023-10-04 02:17:00,user_855,Gravy lacked flavor.,3,158,Biryani Blues,Pune,chinese,2023-10-04,2023-10,2,2,6349,3.0
2023-04-19 14:56:00,user_1685,Food arrived cold. rice was undercooked. portion size was generous.,2,320,Masala Magic,Mumbai,curry,2023-04-19,2023-04,2,14,6192,2.96
2023-01-22 01:56:00,user_1989,Portion size was generous.,2,289,Biryani Blues,Hyderabad,chinese,2023-01-22,2023-01,6,1,6349,3.0
2023-06-09 22:42:00,user_1616,Food arrived cold. chicken biryani was perfectly cooked. paneer curry was too salty.,5,421,Curry Nation,Hyderabad,pizza,2023-06-09,2023-06,4,22,6394,2.99
2023-09-15 18:25:00,user_1691,Fries were soggy. gravy lacked flavor.,1,426,The Hungry Fork,Pune,street food,2023-09-15,2023-09,4,18,6185,3.02
2023-09-04 01:58:00,user_1593,Naan was rubbery. dessert was fresh and tasty.,3,498,Curry Nation,Hyderabad,pizza,2023-09-04,2023-09,0,1,6394,2.99
2023-04-29 09:45:00,user_1775,Fries were soggy. rice was undercooked.,5,240,Biryani Blues,Hyderabad,biryani,2023-04-29,2023-04,5,9,6349,3.0
2023-02-28 01:19:00,user_1541,Chicken biryani was perfectly cooked. oil was excessive. packaging was neat.,3,148,Urban Tadka,Delhi,chinese,2023-02-28,2023-02,1,1,6131,2.98
2023-07-01 10:51:00,user_556,Portion size was generous. paneer curry was too salty. chicken biryani was perfectly cooked.,4,57,The Hungry Fork,Kolkata,street food,2023-07-01,2023-07,5,10,6185,3.02
2023-10-27 09:52:00,user_716,Food spilled during delivery. spices were well balanced.,2,52,Biryani Blues,Mumbai,curry,2023-10-27,2023-10,4,9,6349,3.0
2023-09-19 21:06:00,user_1343,Taste was amazing. gravy lacked flavor.,2,379,Biryani Blues,Bangalore,south indian,2023-09-19,2023-09,1,21,6349,3.0
2023-05-29 04:51:00,user_146,Food arrived cold.,4,54,Wok & Roll,Bangalore,curry,2023-05-29,2023-05,0,4,6201,3.01
2023-12-03 17:12:00,user_1150,Fries were soggy. gravy lacked flavor.,2,286,Wok & Roll,Bangalore,chinese,2023-12-03,2023-12,6,17,6201,3.01
2023-01-23 13:34:00,user_1409,Dessert was fresh and tasty.,5,71,Biryani Blues,Chennai,curry,2023-01-23,2023-01,0,13,6349,3.0
2023-10-09 20:33:00,user_1396,Rice was undercooked. portion size was generous. oil was excessive.,2,138,Biryani Blues,Delhi,street food,2023-10-09,2023-10,0,20,6349,3.0
2023-01-02 14:19:00,user_1478,Food spilled during delivery.,4,166,Curry Nation,Hyderabad,pizza,2023-01-02,2023-01,0,14,6394,2.99
2023-01-11 22:48:00,user_1626,Paneer curry was too salty. dessert was fresh and tasty.,2,490,The Hungry Fork,Kolkata,chinese,2023-01-11,2023-01,2,22,6185,3.02
2023-07-08 04:06:00,user_362,Packaging was neat. portion size was generous. oil was excessive.,3,125,Wok & Roll,Chennai,curry,2023-07-08,2023-07,5,4,6201,3.01
2023-09-08 07:56:00,user_228,Gravy lacked flavor. spices were well balanced. food arrived cold.,4,167,Masala Magic,Mumbai,curry,2023-09-08,2023-09,4,7,6192,2.96
2023-10-13 09:39:00,user_464,Spices were well balanced. portion size was generous. rice was undercooked.,3,41,Spice Villa,Hyderabad,biryani,2023-10-13,2023-10,4,9,6366,2.99
2023-04-08 00:24:00,user_1541,Delivery was late. oil was excessive. naan was rubbery.,5,137,Wok & Roll,Delhi,pizza,2023-04-08,2023-04,5,0,6201,3.01
2023-03-20 08:32:00,user_1325,Naan was rubbery. gravy lacked flavor.,1,130,Biryani Blues,Pune,north indian,2023-03-20,2023-03,0,8,6349,3.0
2023-06-22 12:19:00,user_593,Dessert was fresh and tasty. packaging was neat. delivery was late.,1,482,Pizza Junction,Kolkata,north indian,2023-06-22,2023-06,3,12,6182,2.99
2023-01-09 18:20:00,user_1984,Packaging was neat. portion size was generous. food arrived cold.,2,427,Masala Magic,Delhi,street food,2023-01-09,2023-01,0,18,6192,2.96
2023-03-01 05:20:00,user_1287,Chicken biryani was perfectly cooked.,5,128,Curry Nation,Delhi,pizza,2023-03-01,2023-03,2,5,6394,2.99
2023-02-25 03:37:00,user_566,Fries were soggy. naan was rubbery. delivery was late.,1,91,Biryani Blues,Kolkata,south indian,2023-02-25,2023-02,5,3,6349,3.0
2023-07-03 00:05:00,user_648,Naan was rubbery. food spilled during delivery.,5,297,Spice Villa,Chennai,biryani,2023-07-03,2023-07,0,0,6366,2.99
2023-01-25 06:00:00,user_768,Dessert was fresh and tasty.,5,84,The Hungry Fork,Hyderabad,chinese,2023-01-25,2023-01,2,6,6185,3.02
2023-11-09 05:24:00,user_1045,Paneer curry was too salty.,3,135,Urban Tadka,Delhi,street food,2023-11-09,2023-11,3,5,6131,2.98
2023-10-03 21:04:00,user_245,Dessert was fresh and tasty. spices were well balanced.,4,478,The Hungry Fork,Mumbai,street food,2023-10-03,2023-10,1,21,6185,3.02
2023-01-29 23:20:00,user_1609,Portion size was generous. oil was excessive. gravy lacked flavor.,2,65,Wok & Roll,Hyderabad,chinese,2023-01-29,2023-01,6,23,6201,3.01
2023-02-28 08:18:00,user_1070,Dessert was fresh and tasty. packaging was neat.,5,303,Biryani Blues,Hyderabad,south indian,2023-02-28,2023-02,1,8,6349,3.0
2023-08-31 19:53:00,user_809,Delivery was late.,5,435,Urban Tadka,Delhi,biryani,2023-08-31,2023-08,3,19,6131,2.98
2023-09-11 05:21:00,user_1945,Delivery was late.,4,109,The Hungry Fork,Pune,pizza,2023-09-11,2023-09,0,5,6185,3.02
2023-08-28 15:08:00,user_1585,Naan was rubbery. paneer curry was too salty. oil was excessive.,2,495,Masala Magic,Bangalore,north indian,2023-08-28,2023-08,0,15,6192,2.96
2023-10-29 18:27:00,user_452,Food arrived cold. paneer curry was too salty.,4,346,Curry Nation,Chennai,chinese,2023-10-29,2023-10,6,18,6394,2.99
2023-04-07 21:04:00,user_1400,Portion size was generous. taste was amazing.,5,454,Urban Tadka,Hyderabad,chinese,2023-04-07,2023-04,4,21,6131,2.98
2023-12-11 15:07:00,user_1086,Spices were well balanced.,4,280,The Hungry Fork,Hyderabad,biryani,2023-12-11,2023-12,0,15,6185,3.02
2023-12-06 15:23:00,user_1955,Oil was excessive.,1,69,Spice Villa,Kolkata,street food,2023-12-06,2023-12,2,15,6366,2.99
2023-03-07 10:35:00,user_646,Paneer curry was too salty. spices were well balanced.,5,51,The Hungry Fork,Delhi,biryani,2023-03-07,2023-03,1,10,6185,3.02
2023-10-03 15:11:00,user_1095,Gravy lacked flavor.,4,225,Masala Magic,Mumbai,street food,2023-10-03,2023-10,1,15,6192,2.96
2023-10-10 21:23:00,user_1739,Paneer curry was too salty. delivery was late.,3,98,Curry Nation,Chennai,chinese,2023-10-10,2023-10,1,21,6394,2.99
2023-09-20 10:58:00,user_1501,Chicken biryani was perfectly cooked.,3,266,The Hungry Fork,Delhi,biryani,2023-09-20,2023-09,2,10,6185,3.02
2023-11-30 12:29:00,user_881,Spices were well balanced.,5,399,The Hungry Fork,Chennai,street food,2023-11-30,2023-11,3,12,6185,3.02
2023-05-13 07:39:00,user_1202,Chicken biryani was perfectly cooked. packaging was neat. naan was rubbery.,5,373,The Hungry Fork,Pune,biryani,2023-05-13,2023-05,5,7,6185,3.02
2023-06-03 05:42:00,user_1233,Naan was rubbery. spices were well balanced.,5,364,Curry Nation,Chennai,biryani,2023-06-03,2023-06,5,5,6394,2.99
2023-06-09 18:14:00,user_1227,Food arrived cold. portion size was generous. food spilled during delivery.,2,358,Urban Tadka,Hyderabad,pizza,2023-06-09,2023-06,4,18,6131,2.98
2023-01-31 09:00:00,user_1717,Chicken biryani was perfectly cooked.,2,246,Spice Villa,Chennai,street food,2023-01-31,2023-01,1,9,6366,2.99
2023-10-15 19:23:00,user_1916,Chicken biryani was perfectly cooked. oil was excessive. food arrived cold.,2,226,Curry Nation,Mumbai,pizza,2023-10-15,2023-10,6,19,6394,2.99
2023-01-04 12:26:00,user_995,Rice was undercooked.,1,266,Biryani Blues,Pune,street food,2023-01-04,2023-01,2,12,6349,3.0
2023-06-30 14:48:00,user_797,Taste was amazing. spices were well balanced. paneer curry was too salty.,2,132,Curry Nation,Pune,north indian,2023-06-30,2023-06,4,14,6394,2.99
2023-10-22 06:14:00,user_64,Portion size was generous. packaging was neat. spices were well balanced.,2,299,Spice Villa,Bangalore,chinese,2023-10-22,2023-10,6,6,6366,2.99
2023-11-11 16:30:00,user_1675,Spices were well balanced. gravy lacked flavor.,3,456,Urban Tadka,Mumbai,chinese,2023-11-11,2023-11,5,16,6131,2.98
2023-09-29 15:37:00,user_924,Oil was excessive. portion size was generous. chicken biryani was perfectly cooked.,3,346,Curry Nation,Mumbai,biryani,2023-09-29,2023-09,4,15,6394,2.99
2023-03-08 16:25:00,user_1014,Fries were soggy. food arrived cold.,2,306,Curry Nation,Kolkata,chinese,2023-03-08,2023-03,2,16,6394,2.99
2023-01-15 08:17:00,user_1882,Portion size was generous.,5,279,Wok & Roll,Hyderabad,south indian,2023-01-15,2023-01,6,8,6201,3.01
2023-03-11 19:01:00,user_993,Rice was undercooked.,3,430,Spice Villa,Pune,street food,2023-03-11,2023-03,5,19,6366,2.99
2023-11-20 17:58:00,user_1920,Fries were soggy. rice was undercooked.,4,85,Spice Villa,Bangalore,south indian,2023-11-20,2023-11,0,17,6366,2.99
2023-09-19 00:48:00,user_1263,Packaging was neat. gravy lacked flavor. paneer curry was too salty.,1,481,Biryani Blues,Hyderabad,south indian,2023-09-19,2023-09,1,0,6349,3.0
2023-05-23 11:05:00,user_940,Paneer curry was too salty. fries were soggy. spices were well balanced.,4,474,The Hungry Fork,Hyderabad,biryani,2023-05-23,2023-05,1,11,6185,3.02
2023-09-27 08:30:00,user_823,Naan was rubbery.,1,350,Biryani Blues,Chennai,south indian,2023-09-27,2023-09,2,8,6349,3.0
2023-05-14 15:52:00,user_1490,Rice was undercooked. food spilled during delivery.,1,415,Pizza Junction,Bangalore,biryani,2023-05-14,2023-05,6,15,6182,2.99
2023-10-08 12:40:00,user_1323,Naan was rubbery.,1,444,Wok & Roll,Pune,street food,2023-10-08,2023-10,6,12,6201,3.01
2023-01-21 01:04:00,user_1391,Portion size was generous. oil was excessive. paneer curry was too salty.,2,241,Curry Nation,Kolkata,biryani,2023-01-21,2023-01,5,1,6394,2.99
2023-01-28 02:48:00,user_778,Packaging was neat.,3,213,Masala Magic,Chennai,chinese,2023-01-28,2023-01,5,2,6192,2.96
2023-11-02 00:00:00,user_392,Portion size was generous. packaging was neat. chicken biryani was perfectly cooked.,5,5,Masala Magic,Kolkata,biryani,2023-11-02,2023-11,3,0,6192,2.96
2023-02-19 05:57:00,user_450,Delivery was late. food spilled during delivery. taste was amazing.,2,380,Biryani Blues,Bangalore,chinese,2023-02-19,2023-02,6,5,6349,3.0
2023-02-13 03:55:00,user_187,Oil was excessive.,5,261,The Hungry Fork,Pune,chinese,2023-02-13,2023-02,0,3,6185,3.02
2023-01-11 12:23:00,user_657,Portion size was generous. oil was excessive. naan was rubbery.,1,417,Urban Tadka,Pune,pizza,2023-01-11,2023-01,2,12,6131,2.98
2023-06-06 13:26:00,user_38,Taste was amazing. naan was rubbery.,1,450,Wok & Roll,Bangalore,street food,2023-06-06,2023-06,1,13,6201,3.01
2023-10-03 15:35:00,user_1459,Oil was excessive.,1,479,Spice Villa,Bangalore,north indian,2023-10-03,2023-10,1,15,6366,2.99
2023-06-08 19:55:00,user_176,Portion size was generous. naan was rubbery. paneer curry was too salty.,4,197,Masala Magic,Delhi,street food,2023-06-08,2023-06,3,19,6192,2.96
2023-04-21 07:08:00,user_1064,Dessert was fresh and tasty.,4,166,The Hungry Fork,Bangalore,north indian,2023-04-21,2023-04,4,7,6185,3.02
2023-11-22 04:41:00,user_963,Portion size was generous. paneer curry was too salty.,4,157,Masala Magic,Pune,biryani,2023-11-22,2023-11,2,4,6192,2.96
2023-04-02 19:18:00,user_813,Rice was undercooked. chicken biryani was perfectly cooked.,4,160,The Hungry Fork,Chennai,chinese,2023-04-02,2023-04,6,19,6185,3.02
2023-04-09 10:44:00,user_477,Paneer curry was too salty. dessert was fresh and tasty. fries were soggy.,1,486,Masala Magic,Bangalore,chinese,2023-04-09,2023-04,6,10,6192,2.96
2023-06-04 12:23:00,user_737,Gravy lacked flavor. delivery was late. chicken biryani was perfectly cooked.,5,195,Spice Villa,Hyderabad,south indian,2023-06-04,2023-06,6,12,6366,2.99
2023-10-30 19:14:00,user_1428,Spices were well balanced.,3,435,Masala Magic,Pune,biryani,2023-10-30,2023-10,0,19,6192,2.96
2023-10-02 09:40:00,user_898,Dessert was fresh and tasty. delivery was late.,5,286,Spice Villa,Kolkata,south indian,2023-10-02,2023-10,0,9,6366,2.99
2023-10-05 11:26:00,user_1064,Fries were soggy.,5,81,Wok & Roll,Bangalore,pizza,2023-10-05,2023-10,3,11,6201,3.01
2023-08-21 12:32:00,user_1783,Rice was undercooked. gravy lacked flavor.,4,478,Wok & Roll,Pune,biryani,2023-08-21,2023-08,0,12,6201,3.01
2023-04-09 12:33:00,user_1933,Naan was rubbery. taste was amazing. food arrived cold.,2,356,Curry Nation,Mumbai,curry,2023-04-09,2023-04,6,12,6394,2.99
2023-12-03 05:26:00,user_1878,Paneer curry was too salty.,4,159,Urban Tadka,Chennai,biryani,2023-12-03,2023-12,6,5,6131,2.98
